Time,IndexTipX,IndexTipY,IndexTipZ,Trial
0.102163,-0.269579,5.282947,-0.164983,3
0.113465,-0.269211,5.280827,-0.161817,3
0.124435,-0.268874,5.278904,-0.158518,3
0.135654,-0.268656,5.277644,-0.156133,3
0.146389,-0.267555,5.276185,-0.153568,3
0.158225,-0.266646,5.274652,-0.151509,3
0.169305,-0.265975,5.273184,-0.149572,3
0.180260,-0.265968,5.272155,-0.146798,3
0.190852,-0.266783,5.271341,-0.144436,3
0.202428,-0.267206,5.270356,-0.142301,3
0.214030,-0.268751,5.269541,-0.140182,3
0.224609,-0.269634,5.268868,-0.138445,3
0.235692,-0.270779,5.268490,-0.137618,3
0.246728,-0.271079,5.268252,-0.136718,3
0.258009,-0.270729,5.268739,-0.136956,3
0.268611,-0.270664,5.269469,-0.136196,3
0.280123,-0.269261,5.270954,-0.134475,3
0.291016,-0.268493,5.272810,-0.134513,3
0.302272,-0.266711,5.275907,-0.134302,3
0.313297,-0.264476,5.278457,-0.133679,3
0.324546,-0.260031,5.282828,-0.133171,3
0.335748,-0.255236,5.287663,-0.132696,3
0.346220,-0.248978,5.293489,-0.131046,3
0.358133,-0.242048,5.300345,-0.128775,3
0.369456,-0.232990,5.307582,-0.123719,3
0.386976,-0.218106,5.317264,-0.116372,3
0.391907,-0.212127,5.319907,-0.111613,3
0.402414,-0.198417,5.325788,-0.105122,3
0.413933,-0.189712,5.333456,-0.101368,3
0.424693,-0.183449,5.346917,-0.103852,3
0.435727,-0.178162,5.357572,-0.106256,3
0.446892,-0.171394,5.366532,-0.110686,3
0.457825,-0.164882,5.372000,-0.114087,3
0.469220,-0.155727,5.380910,-0.117652,3
0.480130,-0.146989,5.387437,-0.118657,3
0.491086,-0.138958,5.392386,-0.118292,3
0.501912,-0.128744,5.397041,-0.117026,3
0.513439,-0.120209,5.401122,-0.116810,3
0.524144,-0.111579,5.405960,-0.115901,3
0.535296,-0.103298,5.410127,-0.114125,3
0.547201,-0.093199,5.414862,-0.112587,3
0.557748,-0.085294,5.418039,-0.110133,3
0.569056,-0.075494,5.421711,-0.108098,3
0.579693,-0.068974,5.424087,-0.105882,3
0.010923,-0.059864,5.426175,-0.104147,4
0.029010,-0.048517,5.428004,-0.102747,4
0.034273,-0.046493,5.428605,-0.098682,4
0.044734,-0.039435,5.429557,-0.094145,4
0.056065,-0.032686,5.429782,-0.090076,4
0.067352,-0.024490,5.429859,-0.086639,4
0.077859,-0.019552,5.429753,-0.083841,4
0.088607,-0.012334,5.429121,-0.082446,4
0.099829,-0.007314,5.428424,-0.082180,4
0.110772,-0.002420,5.427583,-0.082957,4
0.122517,0.001797,5.426610,-0.083992,4
